"","X1","zbin","vai","plot"
"1",1,0,0,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"2",2,1,0.0163391001627527,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"3",3,2,0.562891815471121,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"4",4,3,0.445986348337133,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"5",5,4,0.87997988459243,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"6",6,5,0.654807892562199,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"7",7,6,0.172643965639452,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"8",8,7,0.137874538644896,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"9",9,8,0.296071777077369,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"10",10,9,0.242626406183643,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"11",11,10,0.0167295384027106,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"12",12,11,0.103131591004463,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"13",13,12,0.0769103745187504,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"14",14,13,0.0571871212607488,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"15",15,14,0.128453521846727,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"16",16,15,0.109405880944644,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"17",17,16,0.0751302598661615,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"18",18,17,0.0698098699936352,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"19",19,18,0.0327586109247788,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"20",20,19,0.0356190428378644,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"21",21,20,0.102302087875369,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"22",22,21,0.254888725737643,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"23",23,22,0.134017594990695,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"24",24,23,0.0816248417154624,"hbef_ise_2017_p1_t2_output_hit_matrix.csv"
"25",1,0,0,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"26",2,1,0.00905828906359057,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"27",3,2,1.72075010281341,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"28",4,3,1.27377936312977,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"29",5,4,1.11139632913508,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"30",6,5,0.426349882003549,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"31",7,6,0.260176857058673,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"32",8,7,0.324208849383726,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"33",9,8,0.297478326061781,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"34",10,9,0.222351661614851,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"35",11,10,0.0412812943562854,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"36",12,11,0.200837657142334,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"37",13,12,0.0761793249623698,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"38",14,13,0.0713677449747488,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"39",15,14,0.0479626742658665,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"40",16,15,0.380600922983166,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"41",17,16,0.138452160197898,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
"42",18,17,0.108948530320728,"hbef_ise_2017_p1_t3_output_hit_matrix.csv"
